financial_year,fy_index_2025_26_eq_100,fy_pct_change,calendar_year,cy_index_2025_eq_100,cy_pct_change,status
1955/56,3.0588,,1955,3.037,,ONS outturn
1956/57,3.2472,6.159278,1956,3.2477,6.937768,ONS outturn
1957/58,3.3969,4.610126,1957,3.3778,4.005912,ONS outturn
1958/59,3.4794,2.428685,1958,3.5013,3.656226,ONS outturn
1959/60,3.4979,0.531701,1959,3.5267,0.725445,ONS outturn
1960/61,3.5676,1.992624,1960,3.5636,1.046304,ONS outturn
1961/62,3.6987,3.674739,1961,3.6986,3.788304,ONS outturn
1962/63,3.8139,3.114608,1962,3.8317,3.598659,ONS outturn
1963/64,3.8782,1.685938,1963,3.8876,1.458882,ONS outturn
1964/65,4.0607,4.705791,1964,4.0265,3.572898,ONS outturn
1965/66,4.2794,5.385771,1965,4.2659,5.94561,ONS outturn
1966/67,4.4971,5.087162,1966,4.4935,5.335334,ONS outturn
1967/68,4.62,2.732872,1967,4.6259,2.946478,ONS outturn
1968/69,4.862,5.238095,1968,4.8202,4.200264,ONS outturn
1969/70,5.1978,6.906623,1969,5.1396,6.626281,ONS outturn
1970/71,5.7106,9.865712,1970,5.6343,9.625263,ONS outturn
1971/72,6.1429,7.570133,1971,6.101,8.283194,ONS outturn
1972/73,6.6653,8.504127,1972,6.5617,7.551221,ONS outturn
1973/74,7.251,8.787301,1973,7.1446,8.883369,ONS outturn
1974/75,8.7249,20.326851,1974,8.2995,16.164656,ONS outturn
1975/76,10.8582,24.45071,1975,10.4686,26.135309,ONS outturn
1976/77,12.3731,13.951668,1976,12.0886,15.474849,ONS outturn
1977/78,14.0735,13.742716,1977,13.7639,13.858511,ONS outturn
1978/79,15.6579,11.258038,1978,15.3887,11.804794,ONS outturn
1979/80,18.3002,16.875188,1979,17.6111,14.441766,ONS outturn
1980/81,21.7929,19.085584,1980,21.1684,20.199193,ONS outturn
1981/82,24.0883,10.532788,1981,23.7765,12.320723,ONS outturn
1982/83,25.8635,7.369553,1982,25.6787,8.000336,ONS outturn
1983/84,27.094,4.75767,1983,27.1026,5.545063,ONS outturn
1984/85,28.6782,5.847051,1984,28.521,5.233446,ONS outturn
1985/86,30.2401,5.446297,1985,30.0628,5.405841,ONS outturn
1986/87,31.4686,4.062487,1986,31.4075,4.47297,ONS outturn
1987/88,33.3005,5.821358,1987,33.1354,5.501552,ONS outturn
1988/89,35.5679,6.808907,1988,35.174,6.152333,ONS outturn
1989/90,38.4436,8.085099,1989,38.0033,8.043725,ONS outturn
1990/91,41.6689,8.389693,1990,41.2509,8.545574,ONS outturn
1991/92,44.1751,6.014558,1991,44.0168,6.705066,ONS outturn
1992/93,45.3861,2.741363,1992,45.4538,3.264663,ONS outturn
1993/94,46.6776,2.845585,1993,46.8153,2.995349,ONS outturn
1994/95,47.4519,1.658826,1994,47.6798,1.846619,ONS outturn
1995/96,48.9537,3.164889,1995,48.9272,2.616202,ONS outturn
1996/97,50.6097,3.382788,1996,50.9534,4.141255,ONS outturn
1997/98,50.7408,0.259041,1997,50.9733,0.039055,ONS outturn
1998/99,51.4538,1.405181,1998,51.6509,1.329323,ONS outturn
1999/00,52.09,1.236449,1999,52.3714,1.394942,ONS outturn
2000/01,52.5543,0.891342,2000,52.8837,0.978206,ONS outturn
2001/02,53.6079,2.004784,2001,53.7884,1.710735,ONS outturn
2002/03,54.7102,2.056227,2002,54.9106,2.086323,ONS outturn
2003/04,56.0523,2.453107,2003,56.2179,2.380779,ONS outturn
2004/05,57.7233,2.981144,2004,57.7544,2.733115,ONS outturn
2005/06,59.3089,2.746898,2005,59.4075,2.862293,ONS outturn
2006/07,61.0914,3.005451,2006,61.2373,3.080082,ONS outturn
2007/08,62.2864,1.956085,2007,62.4569,1.991597,ONS outturn
2008/09,64.6079,3.727138,2008,64.5388,3.333339,ONS outturn
2009/10,65.4436,1.293495,2009,65.8192,1.983923,ONS outturn
2010/11,66.5571,1.701465,2010,66.6922,1.326361,ONS outturn
2011/12,67.9779,2.134708,2011,68.3442,2.477051,ONS outturn
2012/13,69.1565,1.733799,2012,69.4011,1.546437,ONS outturn
2013/14,70.5952,2.080354,2013,70.8967,2.155009,ONS outturn
2014/15,71.5931,1.413552,2014,72.0284,1.596266,ONS outturn
2015/16,72.0902,0.694341,2015,72.5121,0.671541,ONS outturn
2016/17,73.5353,2.004572,2016,73.768,1.731987,ONS outturn
2017/18,74.4665,1.266331,2017,74.9077,1.544979,ONS outturn
2018/19,76.1639,2.279414,2018,76.3781,1.962949,ONS outturn
2019/20,78.1735,2.63852,2019,78.2576,2.460784,ONS outturn
2020/21,82.2588,5.22594,2020,82.2184,5.061234,ONS outturn
2021/22,82.4554,0.239002,2021,82.6257,0.495388,ONS outturn
2022/23,88.2512,7.029012,2022,87.3194,5.680678,ONS outturn
2023/24,92.8945,5.261458,2023,92.8675,6.3538,ONS outturn
2024/25,96.6694,4.063642,2024,96.5146,3.927208,ONS outturn
2025/26,100,3.445351,2025,100,3.611267,ONS outturn
2026/27,,2.005742,2026,,2.183088,OBR forecast (percentage change only)
2027/28,,1.94198,2027,,1.944413,OBR forecast (percentage change only)
2028/29,,1.865316,2028,,1.887538,OBR forecast (percentage change only)
2029/30,,1.864367,2029,,1.843859,OBR forecast (percentage change only)
2030/31,,2.015962,2030,,1.979988,OBR forecast (percentage change only)
